concept_name,SRC_CODE,concept_id,vocabulary_id,domain_id,v6_domain_id,concept_class_id,standard_concept,valid_start_date,valid_end_date,invalid_reason,source
Trail drawings score,trails_visuospatial_executive,2005200344,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time taken to do trails in seconds,trails_visuospatial_executive_time,2005200345,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Cube drawings score,cube_visuospatial_executive,2005200346,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time taken to do cube in seconds,cube_visuospatial_executive_time,2005200347,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Clock drawings score,clock_visuospatial_executive,2005200348,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time taken to do clock in seconds,clock_visuospatial_executive_time,2005200349,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Animal name recall task score,naming,2005200350,AIREADI-MOCA,Measurement,survey_conduct,Observable Entity,S,1/1/1970,,,MOCA
Time in seconds to perform the animal name recall task,naming_time,2005200351,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Words correctly repeated (1st trial) score,memory_trial1,2005200352,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the words correctly repeated (1st trial),memory_trial1_time,2005200353,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Words correctly repeated (2nd trial) score,memory_trial2,2005200354,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the words correctly repeated (2nd trial),memory_trial2_time,2005200355,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Repeating digits score,digitspan,2005200356,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the repeating digits task,digitspan_time,2005200357,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Letter tapping score,lettera,2005200358,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the letter tapping task,lettera_time,2005200359,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Serial 7 subtraction score,subtraction,2005200360,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the serial 7 subtraction task,subtraction_time,2005200361,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Repeats sentences II score,repetition,2005200362,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform repeats sentences II task,repetition_time,2005200363,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Maximal one-minute recall of words beginning with 'F' score,verbal_fluency_language,2005200364,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the words beginning with 'F' recall task,verbal_fluency_language_time,2005200365,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
MOCA abstraction score,moca_abstraction,2005200366,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform MOCA abstraction task,moca_abstraction_time,2005200367,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
MOCA delayed recall with no cue score,delayed_recall_with_no_cue,2005200368,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the MOCA delayed recall with no cue task,delayed_recall_with_no_cue_time,2005200369,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
"MOCA orientation date, month, year, day, place, city score",moca_orientation,2005200370,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",moca_orientation_time,2005200371,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Age in years (3-4 year span),age_years_at_interview,2005200372,AIREADI-MOCA,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,MOCA
"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",moca_combined_mis_score,2005200373,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
VA Letter Score - Photopic VA - OD,viaodplog,2005200042,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
VA Letter Score - Photopic VA - OS,viaosplog,2005200043,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Photopic LogMAR OD Score,viaodpscore,2005200052,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Photopic LogMAR OS Score,viaospscore,2005200053,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
LLVA Letter Score - Mesopic VA - OD,viaodmlog,2005200056,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
LLVA Letter Score - Mesopic VA - OS,viaosmlog,2005200057,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Mesopic LogMAR OD Score,viaodmscore,2005200336,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Mesopic LogMAR OS Score,viaosmscore,2005200337,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Snellen fraction - Photopic VA - OD,viaodpsf,2005200012,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Snellen fraction - Photopic VA - OS,viaospsf,2005200013,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Snellen fraction - Mesopic VA - OD,viaodmsf,2005200054,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Snellen fraction - Mesopic VA - OS,viaosmsf,2005200055,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
EVA,1,2005200058,AIREADI-Vision,Measurement,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
"OD: Value of final correct letter - Mesopic, right eye",mlcsodfcl,2005200486,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OD: Number of misses prior to stopping - Mesopic, right eye",mlcsodmiss,2005200487,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OD: Log Contrast Sensitivity - Mesopic, right eye",mlcsodlog,2005200552,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OS: Value of final correct letter - Mesopic, left eye",mlcsosfcl,2005200488,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OS: Number of misses prior to stopping - Mesopic, left eye",mlcsosmiss,2005200489,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OS: Log Contrast Sensitivity - Mesopic, left eye",mlcsoslog,2005200553,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OD: Value of final correct letter - Photopic, right eye",plcsodfcl,2005200338,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OD: Number of misses prior to stopping - Photopic, right eye",plcsodmiss,2005200339,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OD: Log Contrast Sensitivity - Photopic, right eye",plcsodlog,2005200155,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OS: Value of final correct letter - Photopic, left eye",plcsosfcl,2005200340,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OS: Number of misses prior to stopping - Photopic, left eye",plcsosmiss,2005200341,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
"OS: Log Contrast Sensitivity - Photopic, left eye",plcsoslog,2005200156,AIREADI-Vision,Measurement,survey_conduct,Measurement,S,1/1/1970,,,RedCap
OptoMed-Disc centered-CFP,rtop_odd,2005200289,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
OptoMed-Mac centered-CFP,rtop_odm,2005200290,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Central-IR,rtei_odir,2005200291,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Central-FAF,rtei_odfaf,2005200292,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Central-CFP,rtsm_odc,2005200293,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Nasal-CFP,rtsm_odn,2005200294,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Temporal-CFP,rtsm_odt,2005200295,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon- Create Mosaic Image-CFP,rtsm_odm,2005200296,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Spec-ONH-RC-HR-OCT,rtso_odo,2005200297,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Spec-PPole Mac-HR-61 lines-OCT,rtso_odp,2005200298,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Spec-Mac-20x20-HS-512 lines-OCTA,rtso_odm,2005200299,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Mac Cube-512x128-OCT,rtci_odm1,2005200300,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Disc Cube-200x200-OCT,rtci_odd1,2005200301,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Macula 6x6-OCTA,rtci_odm2,2005200302,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Disc 6x6-OCTA,rtci_odd2,2005200303,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
M2-3D Wide(H) 12x9-OCT,rtma_odw,2005200200,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
M2-3D Macula 6x6-OCT,rtma_odm,2005200201,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
M2-Mac 6x6-360x360-(rep3)-OCTA,rtma_odm1,2005200202,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Triton-3D(H)+Radial 12x9-OCT,rttr_odr,2005200203,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Triton-Macula 6x6-OCTA,rttr_odm1,2005200204,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Triton-Macula 12x12-OCTA,rttr_odm2,2005200205,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
FLIO-Mac-HS,rtfl_od,2005200304,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
OptoMed-Disc centered-CFP,rtop_osd,2005200289,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
OptoMed-Mac centered-CFP,rtop_osm,2005200290,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Central-IR,rtei_osir,2005200291,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Central-FAF,rtei_osfaf,2005200292,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Central-CFP,rtsm_osc,2005200293,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Nasal-CFP,rtsm_osn,2005200294,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon-UWF Temporal-CFP,rtsm_ost,2005200295,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Eidon- Create Mosaic Image-CFP,rtsm_osm,2005200296,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Spec-ONH-RC-HR-OCT,rtso_oso,2005200297,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Spec-PPole Mac-HR-61 lines-OCT,rtso_osp,2005200298,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Spec-Mac-20x20-HS-512 lines-OCTA,rtso_osm,2005200299,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Mac Cube-512x128-OCT,rtci_osm1,2005200300,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Disc Cube-200x200-OCT,rtci_osd1,2005200301,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Macula 6x6-OCTA,rtci_osm2,2005200302,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Cirrus-Disc 6x6-OCTA,rtci_osd2,2005200303,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
M2-3D Wide(H) 12x9-OCT,rtma_osw,2005200200,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
M2-3D Macula 6x6-OCT,rtma_osm,2005200201,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
M2-Mac 6x6-360x360-(rep3)-OCTA,rtma_osm1,2005200202,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Triton-3D(H)+Radial 12x9-OCT,rttr_osr,2005200203,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Triton-Macula 6x6-OCTA,rttr_osm1,2005200204,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Triton-Macula 12x12-OCTA,rttr_osm2,2005200205,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
FLIO-Mac-HS,rtfl_os,2005200304,AIREADI-Vision,Observation,survey_conduct,Observable Entity,S,1/1/1970,,,RedCap
Specify other,cmrouteot,2005200485,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Specify other,mhoccur_ot,2005200485,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
"Have you had anything to eat or drink in the last six hours, including coffee or tea with milk or sugar or any other drink other than water?",paate_6hr,2005200629,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Physical Activity Monitor was worn on which wrist?,dvamwenhand,2005200206,AIREADI,Observation,survey_conduct,Clinical Observation,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_mi,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_cvdot,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_strk,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_clsh,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_hbp,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ua,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ear,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_pdr,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",1,2005200627,AIREADI,Condition,survey_conduct,Disorder,S,1/1/1970,,,RedCap
Stroke,1,2005200628,AIREADI,Condition,survey_conduct,Disorder,S,1/1/1970,,,RedCap
"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",1,2005200015,AIREADI,Condition,survey_conduct,Disorder,S,1/1/1970,,,RedCap
Kidney problems,1,2005200017,AIREADI,Condition,survey_conduct,Disorder,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhterm_dm1,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Elevated A1C levels (elevated blood sugars),1,2005200547,AIREADI,Condition,survey_conduct,Disorder,S,1/1/1970,,,RedCap
Survey Started Timestamp,cesstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,cescmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,icfsvyts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,icfcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,dmgstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,dmgcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Device returned,dcvgmenyn,2005200589,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Device returned,dvenvenyn,2005200589,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,dmlstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,dmlcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,dietstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,dietcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,faqstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,faqcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_circ,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_lbp,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_pd,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ad,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhcat_adot,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhcat_dmtaot,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_cogn,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ms,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_cns,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Neurocognitive disorder please specify,mhoccur_cnsot,2005200455,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ra,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_oa,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ca,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Other cancer type please (specify),mhoccur_cnrot,2005200459,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_plm,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_gi,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_rnl,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_obs,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_glc,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_amd,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_crt,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_rvo,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhoccur_ded,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Survey Started Timestamp,mhstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,mhcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,viastartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,viacmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,paidstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,paidcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,preconstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,preconcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,pxfistartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,pxsficmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
PhenX MetaData,px270301_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Survey Started Timestamp,pxnestartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,pxnecmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
PhenX MetaData,px291201_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Survey Started Timestamp,pxrdcmpts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,pxrdstartts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
PhenX MetaData,px281501_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Survey Started Timestamp,pxsdohstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,pxsdohcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
PhenX MetaData,px270201_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px011002_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px280301_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px281401_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px280801_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px11502_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px270101_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
PhenX MetaData,px280901_metadata,2005200102,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Survey Started Timestamp,recstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,reccmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mh_a1c,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhterm_dm2,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Has a doctor or other healthcare professional ever told you that you have/had...,mhterm_predm,2005200014,AIREADI,Observation,survey_conduct,Survey,S,1/1/1970,,,RedCap
Survey Started Timestamp,scrstartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,scrcmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Started Timestamp,sustartts,2005200558,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
Survey Completed Timestamp,sucmpts,2005200559,AIREADI,Observation,survey_conduct,Qualifier Value,S,1/1/1970,,,RedCap
