TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES
2005200344,2005200344,Time taken to do trails in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200345,2005200345,Cube drawings score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200346,2005200346,Time taken to do cube in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200347,2005200347,Time taken to do clock in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200348,2005200348,Animal name recall task score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200349,2005200349,Time in seconds to perform the animal name recall task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200350,2005200350,Words correctly repeated (1st trial) score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200351,2005200351,Time in seconds to perform the words correctly repeated (1st trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200352,2005200352,Words correctly repeated (2nd trial) score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200353,2005200353,Time in seconds to perform the words correctly repeated (2nd trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200354,2005200354,Time in seconds to perform the repeating digits task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200355,2005200355,Letter tapping score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200356,2005200356,Time in seconds to perform the letter tapping task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200357,2005200357,Serial 7 subtraction score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200358,2005200358,Time in seconds to perform the serial 7 subtraction task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200359,2005200359,Repeats sentences II score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200360,2005200360,Time in seconds to perform repeats sentences II task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200361,2005200361,Maximal one-minute recall of words beginning with 'F' score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200362,2005200362,Time in seconds to perform the words beginning with 'F' recall task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200363,2005200363,MOCA abstraction score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200364,2005200364,Time in seconds to perform MOCA abstraction task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200365,2005200365,MOCA delayed recall with no cue score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200366,2005200366,Time in seconds to perform the MOCA delayed recall with no cue task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200367,2005200367,"MOCA orientation date, month, year, day, place, city score",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200368,2005200368,"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200369,2005200369,Age in years (3-4 year span),Observation,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,
2005200370,2005200370,"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,