Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub_REDCap_dataset,Protected_or_open-source,Extension_Needed,original_sort_order,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,NOTES_Outdated,Pre-Extension Predicate_ID,Pre-Extension Confidence,Choices_Calculations_OR_Slider_Labels,Field_Note,PhenX_Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Ext_Vocabulary_Subcategory,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code ,REDCAP_ File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Date-Timestamp-AskedByDoc-Metadata Flag
Changed,9/10/2024,Yes,Yes,open-source,Yes,30,recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/11/2024,Yes,Yes,open-source,Yes,31,recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,32,faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/13/2024,Yes,Yes,open-source,Yes,36,faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Started Timestamp (from REDCap),398215006,10/2,,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/14/2024,Yes,Yes,open-source,Yes,37,faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Completed Timestamp (from REDCap),398215006,10/2,,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,38,screening_survey,text,,1037,scrcmpdat,,Screening survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Screening survey date (date survey/form opened),,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,32,faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,5/2/2024,Yes,Yes,open-source,Yes,43,screening_survey,yesno,,1042,mh_a1c,,Elevated A1C levels (elevated blood sugars),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,Elevated A1C levels (elevated blood sugars),269823000,10/2,,,,,,,,,AIREADI,screening_survey,,Observation,Elevated A1C levels (elevated blood sugars),:skos:exactMatch:1:,,,,,Y
Changed,5/2/2024,Yes,Yes,open-source,Yes,44,screening_survey,yesno,,1043,mhterm_dm2,,Type II Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,201826,LA10552-0 | 44054006,10/2,,,,,,,,,,,,,,,,,,,Y
Changed,5/2/2024,Yes,Yes,open-source,Yes,46,screening_survey,yesno,,1045,mhterm_predm,,Pre-diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,37018196,714628002,10/2,,,,,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,61,screening_survey,text,,1060,scrstartts,, Screening Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Screening Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,screening_survey,,Observation, Screening Survey Started Timestamp (from REDCap),118575009:118575009:118575009:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,62,screening_survey,text,,1061,scrcmpts,, Screening Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Screening Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,screening_survey,,Observation, Screening Survey Completed Timestamp (from REDCap),118575009:118575009:118575009:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,66,preconsent_survey,text,,1065,preconcmpdat,,Pre-consent survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Pre-consent survey/form date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,70,preconsent_survey,text,,1069,preconstartts,, Pre-consent Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Pre-consent Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,preconsent_survey,,Observation, Pre-consent Survey Started Timestamp (from REDCap),118575009:118575009:118575009:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,71,preconsent_survey,text,,1070,preconcmpts,, Pre-consent Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Pre-consent Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,preconsent_survey,,Observation, Pre-consent Survey Completed Timestamp (from REDCap),118575009:118575009:118575009:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,72,consent_survey,text,,1071,icf_dat,,Consent survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Consent survey/form date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,76,consent_survey,text,,1075,c184390_dat,,Date paper consent completed,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date paper consent completed,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,82,consent_survey,text,,1081,icfsvyts,,Consent Survey Start Timestamp,4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Consent Survey Start Timestamp,99423-6,10/2,,,,,,,,,AIREADI,consent_survey,,Observation,Consent Survey Start Timestamp,118575009:118575009:118575009:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,83,consent_survey,text,,1082,icfcmpts,,Consent Survey Completed Timestamp,4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Consent Survey Completed Timestamp,99423-6,10/2,,,,,,,,,AIREADI,consent_survey,,Observation,Consent Survey Completed Timestamp,118575009:118575009:118575009:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,86,staff_consent_attestation_survey,text,,1085,icfa_dat,,Date of Consent Attestation,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Date of Consent Attestation,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,91,participant_contact_information_survey,text,,1090,prtcmpdat,,Participant contact survey/form date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Participant contact survey/form date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,107,demographics_survey,text,,1106,dmgcmpdat,,Demographic survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Demographic survey date (date survey/form opened),Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,118,demographics_survey,text,,1117,dmgstartts,,Demographics Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Demographics Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,demographics_survey,,Observation,Demographics Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,119,demographics_survey,text,,1118,dmgcmpts,,Demograhics Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Demograhics Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,demographics_survey,,Observation,Demograhics Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,120,health_survey,text,,1119,mhcmpdat,,Health survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Health survey date,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,4/25/2024,Yes,Yes,open-source,Yes,126,health_survey,radio,,1125,mhoccur_circ,,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",67434-1,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",:skos:exactMatch:1:,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,129,health_survey,radio,,1128,mhoccur_lbp,,Low blood pressure,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,317002,Creating local code,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,130,health_survey,radio,,1129,mhoccur_pd,,Parkinson's disease,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,381270,LA27533-1,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,131,health_survey,radio,,1130,mhoccur_ad,,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4182210,Removed local code 2005200015,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,"Dementia (Examples: Alzheimer's Disease, vascular dementia, etc)",:skos:exactMatch:1:,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,132,health_survey,radio,,1131,mhcat_adot,,"If yes, please choose between:",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,378419,,10/2,,,"1, Alzheimer's disease | 888, Other | 999, Unsure from the options listed | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,protected,Yes,133,health_survey,text,,1132,mhcat_dmtaot,,Other (please specify):,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,other types of Dementia or Alzheimer's Disease,LA6310-2,10/2,,,,,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,134,health_survey,radio,,1133,mhoccur_cogn,,"Mild cognitive impairment (known as ""MCI""; mild but noticeable cognitive changes, may slow or interfere with daily activities but does not stop them)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,439795,,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,135,health_survey,radio,,1134,mhoccur_ms,,Multiple sclerosis,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,374919,use 374919 for yes,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,136,health_survey,radio,,1135,mhoccur_cns,,Other neurological conditions,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,46271045,use 46271045 for yes,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,138,health_survey,radio,,1137,mhoccur_ra,,Arthritis (joint pain),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4291025,use 4291025 for yes,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,139,health_survey,radio,,1138,mhoccur_oa,,Osteoporosis,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,80502,LA10527-2,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,140,health_survey,radio,,1139,mhoccur_ca,,Cancer (any type),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,45877275,,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,142,health_survey,radio,,1141,mhoccur_plm,,"Chronic pulmonary (lung) problems (Examples: emphysema, asthma, tuberculosis, asbestosis)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4186898,,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,143,health_survey,radio,,1142,mhoccur_gi,,"Digestive problems (Examples: stomach ulcer, gastrointestinal problems, hiatal hernia)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,4201745,,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,144,health_survey,radio,,1143,mhoccur_ua,,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,45877281,LA17005-2,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,"Urinary problems (Examples: urinary tract infections, incontinence, prostate problems)",:skos:exactMatch:1:,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,145,health_survey,radio,,1144,mhoccur_rnl,,Kidney problems,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,Kidney problems,LA4591-9,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,AIREADI,health_survey,,Observation,Kidney problems,:skos:exactMatch:1:,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,146,health_survey,radio,,1145,mhoccur_ear,,Hearing impairment,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,45882741,,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,147,health_survey,radio,,1146,mhoccur_obs,,Obesity,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,433736,,10/2,,,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,162,health_survey,text,,1161,mhstartts,,Health Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Health Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,health_survey,,Observation,Health Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,163,health_survey,text,,1162,mhcmpts,,Heath Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Heath Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,health_survey,,Observation,Heath Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,164,substance_use_survey,text,,1163,sucmpdat,,Substance use survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Substance use survey date,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,193,substance_use_survey,text,,1192,sustartts,, Substance Use Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Substance Use Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,substance_use_survey,,Observation, Substance Use Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,194,substance_use_survey,text,,1193,sucmpts,, Substance Use Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Substance Use Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,134388005,,,,,AIREADI,substance_use_survey,,Observation, Substance Use Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,195,cesd10_survey,text,,1194,cesmpdat,,CES-D-10 survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,CES-D-10 survey date,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,134388005,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,209,cesd10_survey,text,,1208,cesstartts,, CES-D-10 Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, CES-D-10 Survey Started Timestamp (from REDCap),99423-6,10/2,,,,391999003,,,,,AIREADI,cesd10_survey,,Observation, CES-D-10 Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,210,cesd10_survey,text,,1209,cescmpts,, CES-D-10 Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, CES-D-10 Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,cesd10_survey,,Observation, CES-D-10 Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,211,paid5_dm_survey,text,,1210,paidcmpdat,,PAID-5 DM survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PAID-5 DM survey date,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,20067007,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,220,paid5_dm_survey,text,,1219,paidstartts,, PAID-5 DM Survey Start Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, PAID-5 DM Survey Start Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,paid5_dm_survey,,Observation, PAID-5 DM Survey Start Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,221,paid5_dm_survey,text,,1220,paidcmpts,, PAID-5 DM Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, PAID-5 DM Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,392010000,,,,,AIREADI,paid5_dm_survey,,Observation, PAID-5 DM Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,222,diabetes_survey,text,,1221,dmlcmpdat,,Diabetes survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Diabetes survey date,Performed on value_as_concept_id = 1035260 | LA30233-3,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,235,diabetes_survey,text,,1234,dmlstartts,,Diabetes Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Diabetes Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,diabetes_survey,,Observation,Diabetes Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,,,,Y
Changed,9/10/2024,Yes,Yes,open-source,Yes,236,diabetes_survey,text,,1235,dmlcmpts,,Diabetes Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Diabetes Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,diabetes_survey,,Observation,Diabetes Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,,,,Y
